@relation afterProcGTZAN-weka.filters.unsupervised.attribute.NumericToNominal-R23

@attribute RMS_Energy numeric
@attribute Roll_Off_85 numeric
@attribute Roll_Off_90 numeric
@attribute MFCC_1 numeric
@attribute MFCC_2 numeric
@attribute MFCC_3 numeric
@attribute MFCC_4 numeric
@attribute MFCC_5 numeric
@attribute MFCC_6 numeric
@attribute MFCC_7 numeric
@attribute MFCC_8 numeric
@attribute MFCC_9 numeric
@attribute MFCC_10 numeric
@attribute MFCC_11 numeric
@attribute MFCC_12 numeric
@attribute MFCC_13 numeric
@attribute Zero_Crossing_Rate numeric
@attribute Spectral_Flatness numeric
@attribute Spectral_Kurtosis numeric
@attribute Spectral_Brightness numeric
@attribute Spectral_Irregularity numeric
@attribute Spectral_Centroid numeric
@attribute Class {0,1}

@data
0.123824,0.625965,0.682034,0.276894,0.43085,0.400228,0.56139,0.424682,0.365178,0.392173,0.364661,0.347823,0.441205,0.359323,0.681002,0.540158,0.652989,0.582277,0.069847,0.746892,0.476135,0.53963,1
0.092649,0.629098,0.695044,0.284027,0.444039,0.389552,0.580445,0.463309,0.418397,0.444006,0.452375,0.375912,0.455431,0.359025,0.540463,0.466819,0.613999,0.625977,0.062138,0.721176,0.417448,0.545765,1
0.098826,0.658822,0.69166,0.261711,0.441874,0.392746,0.591838,0.487419,0.363692,0.43726,0.392966,0.292525,0.396888,0.375509,0.633613,0.54756,0.600074,0.641826,0.061554,0.749951,0.445421,0.560164,1
0.092326,0.652709,0.739114,0.306904,0.478806,0.364134,0.584047,0.482741,0.434363,0.489334,0.435458,0.385817,0.483196,0.354516,0.416508,0.406746,0.552729,0.566315,0.055051,0.68179,0.500586,0.545334,1
0.118646,0.627187,0.728285,0.29035,0.514065,0.353033,0.504004,0.517356,0.439226,0.554771,0.452998,0.425561,0.449015,0.395769,0.394281,0.3778,0.576866,0.605711,0.058196,0.701991,0.467926,0.554578,1
0.211262,0.583098,0.665864,0.161934,0.572799,0.404132,0.428034,0.613964,0.418016,0.57367,0.523747,0.430962,0.267822,0.369563,0.333935,0.363717,0.745266,0.627978,0.069276,0.857398,0.629332,0.645974,1
0.328926,0.523955,0.598406,0.157998,0.429948,0.334128,0.446685,0.663336,0.351463,0.650527,0.460618,0.448469,0.378326,0.320239,0.236445,0.35011,0.839955,0.473699,0.089231,0.810547,0.672817,0.564841,1
0.386831,0.525636,0.60352,0.186455,0.438347,0.263375,0.431089,0.699922,0.329929,0.782058,0.579074,0.464114,0.486353,0.33198,0.378391,0.36048,0.827144,0.517664,0.081608,0.796592,0.807722,0.580811,1
0.341211,0.611905,0.643754,0.207817,0.444004,0.319259,0.410985,0.479711,0.406572,0.585791,0.616356,0.556993,0.39957,0.22024,0.392474,0.367102,0.768845,0.620667,0.07383,0.810566,0.652829,0.580366,1
0.306667,0.600978,0.644732,0.206991,0.416275,0.311921,0.441931,0.47712,0.476785,0.516552,0.444916,0.504153,0.495165,0.449555,0.553684,0.2853,0.669885,0.634252,0.074005,0.788717,0.655504,0.567983,1
0.32011,0.572935,0.63849,0.244295,0.329613,0.175177,0.373865,0.516389,0.448144,0.676997,0.509799,0.385273,0.441717,0.457952,0.705431,0.495938,0.616042,0.602619,0.079783,0.702561,0.462168,0.517692,1
0.307378,0.521051,0.613522,0.256289,0.404654,0.230026,0.3666,0.592072,0.317577,0.704794,0.575738,0.324776,0.358036,0.434594,0.610198,0.516011,0.696621,0.566549,0.080519,0.706146,0.563941,0.519148,1
0.264614,0.52044,0.593743,0.186437,0.413517,0.273933,0.354141,0.604169,0.300572,0.638425,0.606839,0.397149,0.481824,0.196092,0.295376,0.30431,0.751207,0.46812,0.088111,0.7888,0.58486,0.554368,1
0.245649,0.634446,0.689554,0.241826,0.42713,0.31981,0.436162,0.457876,0.466491,0.479213,0.498161,0.555883,0.545631,0.443393,0.405958,0.300593,0.720758,0.682716,0.063842,0.782098,0.530133,0.587673,1
0.283367,0.58432,0.646913,0.254479,0.361134,0.148236,0.395239,0.686497,0.42177,0.610006,0.453833,0.363392,0.554725,0.460515,0.733374,0.465095,0.667471,0.593299,0.073257,0.67266,0.560552,0.528305,1
0.267719,0.537327,0.64398,0.283558,0.418661,0.208177,0.331775,0.618576,0.375718,0.574211,0.414012,0.385452,0.515545,0.393503,0.719462,0.56178,0.610657,0.550857,0.074305,0.643365,0.677256,0.510791,1
0.245171,0.511271,0.60382,0.236855,0.377469,0.270367,0.381657,0.569347,0.344343,0.642196,0.543368,0.442213,0.41525,0.386313,0.591992,0.494239,0.629224,0.554764,0.086733,0.753896,0.475232,0.523466,1
0.264199,0.470849,0.585997,0.25614,0.39746,0.2528,0.344852,0.606195,0.317065,0.764358,0.495842,0.338405,0.423034,0.389786,0.720064,0.587263,0.626625,0.519159,0.088428,0.704405,0.566905,0.506743,1
0.291036,0.503553,0.621945,0.237712,0.313485,0.184635,0.351821,0.641861,0.343459,0.614556,0.475345,0.335421,0.465827,0.475148,0.748424,0.615954,0.605087,0.569033,0.087043,0.708888,0.452898,0.51729,1
0.240167,0.489188,0.595397,0.264256,0.418478,0.283112,0.409156,0.643445,0.363969,0.656036,0.484893,0.26979,0.388209,0.484169,0.812612,0.655317,0.581136,0.537937,0.08804,0.696201,0.503502,0.498309,1
0.133059,0.571178,0.641122,0.335816,0.451631,0.291977,0.493271,0.55772,0.416851,0.506018,0.397155,0.348343,0.430243,0.379729,0.60634,0.574613,0.531749,0.618267,0.077987,0.642414,0.593718,0.487301,1
0.131295,0.490945,0.597578,0.381493,0.417266,0.203856,0.445968,0.651015,0.415633,0.570878,0.480302,0.484999,0.570747,0.378287,0.462613,0.443164,0.521723,0.560823,0.097266,0.555206,0.435127,0.436614,1
0.122507,0.488194,0.609762,0.330825,0.43364,0.284409,0.47598,0.749202,0.394658,0.541298,0.439651,0.506317,0.515026,0.382053,0.472614,0.446409,0.564055,0.579666,0.092981,0.603397,0.442157,0.46844,1
0.147797,0.526706,0.628939,0.272903,0.526099,0.399942,0.455951,0.537955,0.292854,0.582966,0.410848,0.44493,0.539694,0.575786,0.518876,0.465372,0.645191,0.62206,0.075064,0.732015,0.415856,0.536894,1
0.182639,0.573241,0.642401,0.242427,0.547528,0.423976,0.466011,0.514224,0.296446,0.541326,0.423896,0.449289,0.599785,0.605729,0.473443,0.447025,0.691422,0.626446,0.06999,0.763228,0.643225,0.564686,1
0.164844,0.590051,0.648041,0.227222,0.52975,0.388089,0.423102,0.52382,0.337669,0.450779,0.400972,0.524478,0.584307,0.597255,0.50613,0.419845,0.668957,0.675032,0.067321,0.770297,0.594091,0.583818,1
0.131232,0.562543,0.644055,0.317915,0.445606,0.280923,0.457695,0.568874,0.427169,0.495034,0.320864,0.450194,0.479164,0.533358,0.702436,0.475531,0.62124,0.6437,0.07503,0.669143,0.467658,0.508932,1
0.129384,0.481012,0.596902,0.321988,0.384006,0.296023,0.458263,0.595504,0.336081,0.586808,0.625923,0.3768,0.427935,0.364693,0.551678,0.453186,0.555514,0.527498,0.105464,0.678462,0.476445,0.4538,1
0.131812,0.48659,0.591186,0.31173,0.380384,0.278663,0.46886,0.648098,0.349604,0.611058,0.600547,0.35112,0.386579,0.361577,0.508181,0.494829,0.526179,0.582982,0.105635,0.676538,0.440096,0.466137,1
